epoch,accuracy,dice_coef,loss,lr,val_accuracy,val_dice_coef,val_loss
0,0.39377746,0.615288,6.8521687388420105,0.01,0.02634531632065773,0.35093772411346436,16.08172543843587
1,0.8072136,0.74441063,6.103620111942291,0.01,0.8130716681480408,0.8753871917724609,3.1867454051971436
2,0.79645216,0.7276521,5.923112392425537,0.01,0.8130991458892822,0.8753966093063354,3.2007827758789062
3,0.7528698,0.75770056,5.587371349334717,0.01,0.7866684198379517,0.861194372177124,3.177240530649821
4,0.7371496,0.7840994,5.280859887599945,0.01,0.8000701665878296,0.8674769997596741,3.267296314239502
5,0.7278616,0.7970161,5.121372044086456,0.01,0.7517226934432983,0.8387290239334106,3.4943386713663735
6,0.7325735,0.80342925,5.035535573959351,0.01,0.8022318482398987,0.8688085079193115,2.8711764017740884
7,0.7360729,0.80857456,4.907724916934967,0.01,0.7038329839706421,0.8335127234458923,2.6972336769104004
8,0.72356606,0.8158042,4.785139858722687,0.01,0.677440881729126,0.8170300722122192,2.748523394266764
9,0.71678925,0.81575644,4.726825654506683,0.01,0.689301073551178,0.8302941918373108,2.5127886136372886
10,0.74086225,0.8252214,4.638249456882477,0.01,0.6199716925621033,0.7905190587043762,2.671147028605143
11,0.7171993,0.8208253,4.601215124130249,0.01,0.552197277545929,0.7577768564224243,2.202282428741455
12,0.7253254,0.82864475,4.598359942436218,0.01,0.6131561398506165,0.7872514128684998,2.5269344647725425
13,0.7001337,0.81832904,4.5815845131874084,0.01,0.6322189569473267,0.8011281490325928,1.9163154363632202
14,0.72772443,0.8291205,4.483817160129547,0.01,0.7838221192359924,0.8569090962409973,1.9401651620864868
15,0.7358408,0.83550674,4.394923150539398,0.01,0.6872665286064148,0.8351742029190063,1.2847639719645183
16,0.7244444,0.8376236,4.332481026649475,0.01,0.5674067139625549,0.7678858637809753,1.7842150529225667
17,0.7422644,0.8450537,4.21737140417099,0.01,0.5931594967842102,0.7872840166091919,1.6614415645599365
18,0.6989706,0.83160716,4.523509979248047,0.01,0.6311126947402954,0.8056365251541138,1.6322211424509685
19,0.6961195,0.803508,4.698904573917389,0.01,0.8115991950035095,0.875708818435669,2.315970261891683
20,0.6946667,0.8174782,4.4869038462638855,0.01,0.8130081295967102,0.8793086409568787,1.8901215394337971
21,0.7380711,0.83336,4.297847032546997,0.01,0.7768112421035767,0.8487493991851807,1.6353586514790852
22,0.7315928,0.8385763,4.135882526636124,0.005,0.7703796625137329,0.8567504286766052,1.2745611667633057
23,0.7633028,0.85238904,3.9911693930625916,0.005,0.7676706910133362,0.8647200465202332,1.1304932435353596
